GroupCode,Company,AccidentYear,DevelopmentYear,Lag,CumulativeIncurred,CumulativePaid,IBNR,DirectEP,CededEP,NetEP,Single,Reserve1997
266,Public Underwriters Grp,1988,1988,1,0.0,0.0,0.0,0.0,0.0,0.0,0,932.0
266,Public Underwriters Grp,1988,1989,2,0.0,0.0,0.0,0.0,0.0,0.0,0,932.0
266,Public Underwriters Grp,1988,1990,3,0.0,0.0,0.0,0.0,0.0,0.0,0,932.0
266,Public Underwriters Grp,1988,1991,4,0.0,0.0,0.0,0.0,0.0,0.0,0,932.0
266,Public Underwriters Grp,1988,1992,5,0.0,0.0,0.0,0.0,0.0,0.0,0,932.0
266,Public Underwriters Grp,1988,1993,6,0.0,0.0,0.0,0.0,0.0,0.0,0,932.0
266,Public Underwriters Grp,1988,1994,7,0.0,0.0,0.0,0.0,0.0,0.0,0,932.0
266,Public Underwriters Grp,1988,1995,8,0.0,0.0,0.0,0.0,0.0,0.0,0,932.0
266,Public Underwriters Grp,1988,1996,9,0.0,0.0,0.0,0.0,0.0,0.0,0,932.0
266,Public Underwriters Grp,1988,1997,10,0.0,0.0,0.0,0.0,0.0,0.0,0,932.0
266,Public Underwriters Grp,1989,1989,1,22.0,6.0,6.0,25.0,0.0,25.0,0,932.0
266,Public Underwriters Grp,1989,1990,2,24.0,20.0,1.0,25.0,0.0,25.0,0,932.0
266,Public Underwriters Grp,1989,1991,3,21.0,21.0,0.0,25.0,0.0,25.0,0,932.0
266,Public Underwriters Grp,1989,1992,4,24.0,23.0,0.0,25.0,0.0,25.0,0,932.0
266,Public Underwriters Grp,1989,1993,5,25.0,24.0,0.0,25.0,0.0,25.0,0,932.0
266,Public Underwriters Grp,1989,1994,6,25.0,24.0,0.0,25.0,0.0,25.0,0,932.0
266,Public Underwriters Grp,1989,1995,7,24.0,24.0,0.0,25.0,0.0,25.0,0,932.0
266,Public Underwriters Grp,1989,1996,8,24.0,24.0,0.0,25.0,0.0,25.0,0,932.0
266,Public Underwriters Grp,1989,1997,9,24.0,24.0,0.0,25.0,0.0,25.0,0,932.0
266,Public Underwriters Grp,1989,1998,10,24.0,24.0,0.0,25.0,0.0,25.0,0,932.0
266,Public Underwriters Grp,1990,1990,1,191.0,52.0,49.0,827.0,562.0,265.0,0,932.0
266,Public Underwriters Grp,1990,1991,2,142.0,95.0,8.0,827.0,562.0,265.0,0,932.0
266,Public Underwriters Grp,1990,1992,3,130.0,105.0,5.0,827.0,562.0,265.0,0,932.0
266,Public Underwriters Grp,1990,1993,4,134.0,117.0,3.0,827.0,562.0,265.0,0,932.0
266,Public Underwriters Grp,1990,1994,5,128.0,128.0,0.0,827.0,562.0,265.0,0,932.0
266,Public Underwriters Grp,1990,1995,6,128.0,128.0,0.0,827.0,562.0,265.0,0,932.0
266,Public Underwriters Grp,1990,1996,7,128.0,128.0,0.0,827.0,562.0,265.0,0,932.0
266,Public Underwriters Grp,1990,1997,8,128.0,128.0,0.0,827.0,562.0,265.0,0,932.0
266,Public Underwriters Grp,1990,1998,9,128.0,128.0,0.0,827.0,562.0,265.0,0,932.0
266,Public Underwriters Grp,1990,1999,10,128.0,128.0,0.0,827.0,562.0,265.0,0,932.0
266,Public Underwriters Grp,1991,1991,1,367.0,127.0,100.0,1807.0,1295.0,512.0,0,932.0
266,Public Underwriters Grp,1991,1992,2,353.0,258.0,18.0,1807.0,1295.0,512.0,0,932.0
266,Public Underwriters Grp,1991,1993,3,355.0,301.0,9.0,1807.0,1295.0,512.0,0,932.0
266,Public Underwriters Grp,1991,1994,4,360.0,332.0,5.0,1807.0,1295.0,512.0,0,932.0
266,Public Underwriters Grp,1991,1995,5,381.0,372.0,1.0,1807.0,1295.0,512.0,0,932.0
266,Public Underwriters Grp,1991,1996,6,378.0,376.0,0.0,1807.0,1295.0,512.0,0,932.0
266,Public Underwriters Grp,1991,1997,7,378.0,377.0,0.0,1807.0,1295.0,512.0,0,932.0
266,Public Underwriters Grp,1991,1998,8,377.0,377.0,0.0,1807.0,1295.0,512.0,0,932.0
266,Public Underwriters Grp,1991,1999,9,376.0,377.0,-1.0,1807.0,1295.0,512.0,0,932.0
266,Public Underwriters Grp,1991,2000,10,374.0,376.0,-2.0,1807.0,1295.0,512.0,0,932.0
266,Public Underwriters Grp,1992,1992,1,480.0,120.0,191.0,1842.0,1264.0,578.0,0,932.0
266,Public Underwriters Grp,1992,1993,2,404.0,225.0,82.0,1842.0,1264.0,578.0,0,932.0
266,Public Underwriters Grp,1992,1994,3,372.0,277.0,31.0,1842.0,1264.0,578.0,0,932.0
