GroupCode,Company,AccidentYear,DevelopmentYear,Lag,CumulativeIncurred,CumulativePaid,IBNR,DirectEP,CededEP,NetEP,Single,Reserve1997
337,California Cas Grp,1988,1988,1,445.0,9.0,394.0,1328.0,433.0,895.0,0,691.0
337,California Cas Grp,1988,1989,2,442.0,36.0,292.0,1328.0,433.0,895.0,0,691.0
337,California Cas Grp,1988,1990,3,471.0,70.0,140.0,1328.0,433.0,895.0,0,691.0
337,California Cas Grp,1988,1991,4,493.0,182.0,72.0,1328.0,433.0,895.0,0,691.0
337,California Cas Grp,1988,1992,5,488.0,300.0,160.0,1328.0,433.0,895.0,0,691.0
337,California Cas Grp,1988,1993,6,358.0,301.0,45.0,1328.0,433.0,895.0,0,691.0
337,California Cas Grp,1988,1994,7,380.0,301.0,63.0,1328.0,433.0,895.0,0,691.0
337,California Cas Grp,1988,1995,8,358.0,301.0,48.0,1328.0,433.0,895.0,0,691.0
337,California Cas Grp,1988,1996,9,346.0,301.0,40.0,1328.0,433.0,895.0,0,691.0
337,California Cas Grp,1988,1997,10,347.0,301.0,45.0,1328.0,433.0,895.0,0,691.0
337,California Cas Grp,1989,1989,1,588.0,5.0,518.0,804.0,144.0,660.0,0,691.0
337,California Cas Grp,1989,1990,2,386.0,49.0,263.0,804.0,144.0,660.0,0,691.0
337,California Cas Grp,1989,1991,3,506.0,173.0,320.0,804.0,144.0,660.0,0,691.0
337,California Cas Grp,1989,1992,4,510.0,260.0,249.0,804.0,144.0,660.0,0,691.0
337,California Cas Grp,1989,1993,5,502.0,263.0,239.0,804.0,144.0,660.0,0,691.0
337,California Cas Grp,1989,1994,6,464.0,263.0,201.0,804.0,144.0,660.0,0,691.0
337,California Cas Grp,1989,1995,7,408.0,263.0,145.0,804.0,144.0,660.0,0,691.0
337,California Cas Grp,1989,1996,8,344.0,263.0,81.0,804.0,144.0,660.0,0,691.0
337,California Cas Grp,1989,1997,9,313.0,263.0,45.0,804.0,144.0,660.0,0,691.0
337,California Cas Grp,1989,1998,10,294.0,263.0,24.0,804.0,144.0,660.0,0,691.0
337,California Cas Grp,1990,1990,1,649.0,25.0,300.0,682.0,338.0,344.0,0,691.0
337,California Cas Grp,1990,1991,2,1271.0,594.0,609.0,682.0,338.0,344.0,0,691.0
337,California Cas Grp,1990,1992,3,1106.0,657.0,437.0,682.0,338.0,344.0,0,691.0
337,California Cas Grp,1990,1993,4,1141.0,562.0,579.0,682.0,338.0,344.0,0,691.0
337,California Cas Grp,1990,1994,5,1020.0,567.0,453.0,682.0,338.0,344.0,0,691.0
337,California Cas Grp,1990,1995,6,842.0,567.0,275.0,682.0,338.0,344.0,0,691.0
337,California Cas Grp,1990,1996,7,810.0,567.0,242.0,682.0,338.0,344.0,0,691.0
337,California Cas Grp,1990,1997,8,618.0,567.0,51.0,682.0,338.0,344.0,0,691.0
337,California Cas Grp,1990,1998,9,607.0,567.0,40.0,682.0,338.0,344.0,0,691.0
337,California Cas Grp,1990,1999,10,605.0,568.0,37.0,682.0,338.0,344.0,0,691.0
337,California Cas Grp,1991,1991,1,603.0,18.0,461.0,718.0,51.0,667.0,0,691.0
