GroupCode,Company,AccidentYear,DevelopmentYear,Lag,CumulativeIncurred,CumulativePaid,IBNR,DirectEP,CededEP,NetEP,Single,Reserve1997
43,IDS Property Cas Ins Co,1988,1988,1,607.0,133.0,226.0,957.0,62.0,895.0,0,73044.0
43,IDS Property Cas Ins Co,1988,1989,2,647.0,333.0,129.0,957.0,62.0,895.0,0,73044.0
43,IDS Property Cas Ins Co,1988,1990,3,582.0,431.0,38.0,957.0,62.0,895.0,0,73044.0
43,IDS Property Cas Ins Co,1988,1991,4,598.0,570.0,19.0,957.0,62.0,895.0,0,73044.0
43,IDS Property Cas Ins Co,1988,1992,5,614.0,615.0,0.0,957.0,62.0,895.0,0,73044.0
43,IDS Property Cas Ins Co,1988,1993,6,615.0,615.0,0.0,957.0,62.0,895.0,0,73044.0
43,IDS Property Cas Ins Co,1988,1994,7,615.0,615.0,0.0,957.0,62.0,895.0,0,73044.0
43,IDS Property Cas Ins Co,1988,1995,8,614.0,614.0,0.0,957.0,62.0,895.0,0,73044.0
43,IDS Property Cas Ins Co,1988,1996,9,614.0,614.0,0.0,957.0,62.0,895.0,0,73044.0
43,IDS Property Cas Ins Co,1988,1997,10,614.0,614.0,0.0,957.0,62.0,895.0,0,73044.0
43,IDS Property Cas Ins Co,1989,1989,1,2254.0,934.0,495.0,3695.0,288.0,3407.0,0,73044.0
43,IDS Property Cas Ins Co,1989,1990,2,2859.0,1746.0,515.0,3695.0,288.0,3407.0,0,73044.0
43,IDS Property Cas Ins Co,1989,1991,3,2979.0,2365.0,357.0,3695.0,288.0,3407.0,0,73044.0
43,IDS Property Cas Ins Co,1989,1992,4,2764.0,2579.0,47.0,3695.0,288.0,3407.0,0,73044.0
43,IDS Property Cas Ins Co,1989,1993,5,2826.0,2763.0,0.0,3695.0,288.0,3407.0,0,73044.0
43,IDS Property Cas Ins Co,1989,1994,6,3017.0,2966.0,0.0,3695.0,288.0,3407.0,0,73044.0
43,IDS Property Cas Ins Co,1989,1995,7,2990.0,2940.0,0.0,3695.0,288.0,3407.0,0,73044.0
43,IDS Property Cas Ins Co,1989,1996,8,2978.0,2978.0,0.0,3695.0,288.0,3407.0,0,73044.0
43,IDS Property Cas Ins Co,1989,1997,9,2978.0,2978.0,0.0,3695.0,288.0,3407.0,0,73044.0
43,IDS Property Cas Ins Co,1989,1998,10,2938.0,2938.0,0.0,3695.0,288.0,3407.0,0,73044.0
43,IDS Property Cas Ins Co,1990,1990,1,5843.0,2030.0,1669.0,6138.0,249.0,5889.0,0,73044.0
43,IDS Property Cas Ins Co,1990,1991,2,7424.0,4864.0,757.0,6138.0,249.0,5889.0,0,73044.0
43,IDS Property Cas Ins Co,1990,1992,3,8307.0,6880.0,188.0,6138.0,249.0,5889.0,0,73044.0
43,IDS Property Cas Ins Co,1990,1993,4,8671.0,8087.0,50.0,6138.0,249.0,5889.0,0,73044.0
43,IDS Property Cas Ins Co,1990,1994,5,9066.0,8595.0,235.0,6138.0,249.0,5889.0,0,73044.0
43,IDS Property Cas Ins Co,1990,1995,6,8926.0,8743.0,146.0,6138.0,249.0,5889.0,0,73044.0
43,IDS Property Cas Ins Co,1990,1996,7,8767.0,8763.0,1.0,6138.0,249.0,5889.0,0,73044.0
43,IDS Property Cas Ins Co,1990,1997,8,8765.0,8762.0,0.0,6138.0,249.0,5889.0,0,73044.0
43,IDS Property Cas Ins Co,1990,1998,9,8732.0,8729.0,0.0,6138.0,249.0,5889.0,0,73044.0
43,IDS Property Cas Ins Co,1990,1999,10,8802.0,8802.0,0.0,6138.0,249.0,5889.0,0,73044.0
43,IDS Property Cas Ins Co,1991,1991,1,11422.0,4537.0,2941.0,17533.0,749.0,16784.0,0,73044.0
43,IDS Property Cas Ins Co,1991,1992,2,16093.0,11527.0,951.0,17533.0,749.0,16784.0,0,73044.0
