GroupCode,Company,AccidentYear,DevelopmentYear,Lag,CumulativeIncurred,CumulativePaid,IBNR,DirectEP,CededEP,NetEP,Single,Reserve1997
78,Federated Mut Grp,1988,1988,1,29483.0,3894.0,18410.0,29513.0,0.0,29513.0,0,86660.0
78,Federated Mut Grp,1988,1989,2,28826.0,7409.0,13495.0,29513.0,0.0,29513.0,0,86660.0
78,Federated Mut Grp,1988,1990,3,27063.0,11199.0,7770.0,29513.0,0.0,29513.0,0,86660.0
78,Federated Mut Grp,1988,1991,4,26001.0,16913.0,4721.0,29513.0,0.0,29513.0,0,86660.0
78,Federated Mut Grp,1988,1992,5,24614.0,18517.0,2984.0,29513.0,0.0,29513.0,0,86660.0
78,Federated Mut Grp,1988,1993,6,23763.0,19722.0,1937.0,29513.0,0.0,29513.0,0,86660.0
78,Federated Mut Grp,1988,1994,7,21912.0,20417.0,770.0,29513.0,0.0,29513.0,0,86660.0
78,Federated Mut Grp,1988,1995,8,22652.0,20902.0,797.0,29513.0,0.0,29513.0,0,86660.0
78,Federated Mut Grp,1988,1996,9,22406.0,21208.0,449.0,29513.0,0.0,29513.0,0,86660.0
78,Federated Mut Grp,1988,1997,10,22475.0,21368.0,415.0,29513.0,0.0,29513.0,0,86660.0
78,Federated Mut Grp,1989,1989,1,27023.0,3883.0,17693.0,27835.0,0.0,27835.0,0,86660.0
78,Federated Mut Grp,1989,1990,2,27692.0,6869.0,11991.0,27835.0,0.0,27835.0,0,86660.0
78,Federated Mut Grp,1989,1991,3,29854.0,10489.0,8981.0,27835.0,0.0,27835.0,0,86660.0
78,Federated Mut Grp,1989,1992,4,30105.0,14410.0,6558.0,27835.0,0.0,27835.0,0,86660.0
78,Federated Mut Grp,1989,1993,5,28178.0,16605.0,4875.0,27835.0,0.0,27835.0,0,86660.0
78,Federated Mut Grp,1989,1994,6,25693.0,18485.0,3131.0,27835.0,0.0,27835.0,0,86660.0
78,Federated Mut Grp,1989,1995,7,23116.0,20112.0,1335.0,27835.0,0.0,27835.0,0,86660.0
78,Federated Mut Grp,1989,1996,8,21923.0,20654.0,545.0,27835.0,0.0,27835.0,0,86660.0
78,Federated Mut Grp,1989,1997,9,21459.0,20835.0,234.0,27835.0,0.0,27835.0,0,86660.0
78,Federated Mut Grp,1989,1998,10,21723.0,21119.0,227.0,27835.0,0.0,27835.0,0,86660.0
78,Federated Mut Grp,1990,1990,1,29811.0,4178.0,18823.0,28309.0,0.0,28309.0,0,86660.0
78,Federated Mut Grp,1990,1991,2,32059.0,7473.0,13720.0,28309.0,0.0,28309.0,0,86660.0
78,Federated Mut Grp,1990,1992,3,32307.0,11281.0,9262.0,28309.0,0.0,28309.0,0,86660.0
78,Federated Mut Grp,1990,1993,4,30039.0,15874.0,6275.0,28309.0,0.0,28309.0,0,86660.0
78,Federated Mut Grp,1990,1994,5,25445.0,19186.0,3232.0,28309.0,0.0,28309.0,0,86660.0
78,Federated Mut Grp,1990,1995,6,24091.0,20993.0,1530.0,28309.0,0.0,28309.0,0,86660.0
78,Federated Mut Grp,1990,1996,7,23526.0,22069.0,758.0,28309.0,0.0,28309.0,0,86660.0
78,Federated Mut Grp,1990,1997,8,23029.0,22477.0,207.0,28309.0,0.0,28309.0,0,86660.0
78,Federated Mut Grp,1990,1998,9,23473.0,22742.0,274.0,28309.0,0.0,28309.0,0,86660.0
78,Federated Mut Grp,1990,1999,10,23980.0,23279.0,263.0,28309.0,0.0,28309.0,0,86660.0
78,Federated Mut Grp,1991,1991,1,33708.0,3872.0,21829.0,28091.0,0.0,28091.0,0,86660.0
78,Federated Mut Grp,1991,1992,2,33133.0,8137.0,14359.0,28091.0,0.0,28091.0,0,86660.0
78,Federated Mut Grp,1991,1993,3,37160.0,14577.0,10273.0,28091.0,0.0,28091.0,0,86660.0
78,Federated Mut Grp,1991,1994,4,35228.0,18071.0,7823.0,28091.0,0.0,28091.0,0,86660.0
78,Federated Mut Grp,1991,1995,5,31732.0,22125.0,4918.0,28091.0,0.0,28091.0,0,86660.0
78,Federated Mut Grp,1991,1996,6,27844.0,23770.0,1879.0,28091.0,0.0,28091.0,0,86660.0
78,Federated Mut Grp,1991,1997,7,28708.0,24559.0,1627.0,28091.0,0.0,28091.0,0,86660.0
78,Federated Mut Grp,1991,1998,8,26998.0,25283.0,643.0,28091.0,0.0,28091.0,0,86660.0
78,Federated Mut Grp,1991,1999,9,26701.0,26017.0,257.0,28091.0,0.0,28091.0,0,86660.0
78,Federated Mut Grp,1991,2000,10,26972.0,26380.0,210.0,28091.0,0.0,28091.0,0,86660.0
78,Federated Mut Grp,1992,1992,1,34138.0,4095.0,22308.0,29036.0,0.0,29036.0,0,86660.0
78,Federated Mut Grp,1992,1993,2,34659.0,7260.0,15441.0,29036.0,0.0,29036.0,0,86660.0
78,Federated Mut Grp,1992,1994,3,32142.0,11015.0,9781.0,29036.0,0.0,29036.0,0,86660.0
78,Federated Mut Grp,1992,1995,4,26767.0,14844.0,4824.0,29036.0,0.0,29036.0,0,86660.0
78,Federated Mut Grp,1992,1996,5,24954.0,19309.0,2625.0,29036.0,0.0,29036.0,0,86660.0
78,Federated Mut Grp,1992,1997,6,22684.0,20097.0,1115.0,29036.0,0.0,29036.0,0,86660.0
78,Federated Mut Grp,1992,1998,7,22973.0,20927.0,830.0,29036.0,0.0,29036.0,0,86660.0
78,Federated Mut Grp,1992,1999,8,22401.0,21138.0,474.0,29036.0,0.0,29036.0,0,86660.0
78,Federated Mut Grp,1992,2000,9,22490.0,21424.0,668.0,29036.0,0.0,29036.0,0,86660.0
78,Federated Mut Grp,1992,2001,10,22423.0,21658.0,269.0,29036.0,0.0,29036.0,0,86660.0
78,Federated Mut Grp,1993,1993,1,24270.0,2223.0,17324.0,23916.0,0.0,23916.0,0,86660.0
78,Federated Mut Grp,1993,1994,2,21161.0,4048.0,12160.0,23916.0,0.0,23916.0,0,86660.0
78,Federated Mut Grp,1993,1995,3,17497.0,6651.0,6296.0,23916.0,0.0,23916.0,0,86660.0
78,Federated Mut Grp,1993,1996,4,16132.0,8229.0,4297.0,23916.0,0.0,23916.0,0,86660.0
78,Federated Mut Grp,1993,1997,5,14880.0,9141.0,2896.0,23916.0,0.0,23916.0,0,86660.0
78,Federated Mut Grp,1993,1998,6,12910.0,10446.0,1163.0,23916.0,0.0,23916.0,0,86660.0
78,Federated Mut Grp,1993,1999,7,11770.0,11078.0,260.0,23916.0,0.0,23916.0,0,86660.0
78,Federated Mut Grp,1993,2000,8,12124.0,11098.0,603.0,23916.0,0.0,23916.0,0,86660.0
78,Federated Mut Grp,1993,2001,9,11914.0,11510.0,358.0,23916.0,0.0,23916.0,0,86660.0
78,Federated Mut Grp,1993,2002,10,12131.0,11598.0,400.0,23916.0,0.0,23916.0,0,86660.0
78,Federated Mut Grp,1994,1994,1,22464.0,2500.0,14609.0,26223.0,0.0,26223.0,0,86660.0
78,Federated Mut Grp,1994,1995,2,20527.0,4003.0,11684.0,26223.0,0.0,26223.0,0,86660.0
78,Federated Mut Grp,1994,1996,3,16814.0,6893.0,5147.0,26223.0,0.0,26223.0,0,86660.0
78,Federated Mut Grp,1994,1997,4,14073.0,9379.0,2111.0,26223.0,0.0,26223.0,0,86660.0
78,Federated Mut Grp,1994,1998,5,13988.0,11092.0,1462.0,26223.0,0.0,26223.0,0,86660.0
78,Federated Mut Grp,1994,1999,6,12883.0,11386.0,562.0,26223.0,0.0,26223.0,0,86660.0
78,Federated Mut Grp,1994,2000,7,12632.0,11602.0,628.0,26223.0,0.0,26223.0,0,86660.0
78,Federated Mut Grp,1994,2001,8,12368.0,11684.0,362.0,26223.0,0.0,26223.0,0,86660.0
78,Federated Mut Grp,1994,2002,9,16189.0,12304.0,1517.0,26223.0,0.0,26223.0,0,86660.0
78,Federated Mut Grp,1994,2003,10,15585.0,12353.0,1443.0,26223.0,0.0,26223.0,0,86660.0
78,Federated Mut Grp,1995,1995,1,27354.0,2442.0,19140.0,28379.0,0.0,28379.0,0,86660.0
78,Federated Mut Grp,1995,1996,2,23948.0,4657.0,13853.0,28379.0,0.0,28379.0,0,86660.0
78,Federated Mut Grp,1995,1997,3,21410.0,7303.0,9522.0,28379.0,0.0,28379.0,0,86660.0
78,Federated Mut Grp,1995,1998,4,13208.0,8380.0,2800.0,28379.0,0.0,28379.0,0,86660.0
78,Federated Mut Grp,1995,1999,5,13260.0,9553.0,1922.0,28379.0,0.0,28379.0,0,86660.0
78,Federated Mut Grp,1995,2000,6,12380.0,10170.0,1067.0,28379.0,0.0,28379.0,0,86660.0
78,Federated Mut Grp,1995,2001,7,11152.0,10446.0,446.0,28379.0,0.0,28379.0,0,86660.0
78,Federated Mut Grp,1995,2002,8,11357.0,10522.0,613.0,28379.0,0.0,28379.0,0,86660.0
78,Federated Mut Grp,1995,2003,9,12518.0,10618.0,1207.0,28379.0,0.0,28379.0,0,86660.0
78,Federated Mut Grp,1995,2004,10,12764.0,10883.0,951.0,28379.0,0.0,28379.0,0,86660.0
78,Federated Mut Grp,1996,1996,1,26411.0,2761.0,19401.0,29809.0,0.0,29809.0,0,86660.0
78,Federated Mut Grp,1996,1997,2,27291.0,4661.0,16467.0,29809.0,0.0,29809.0,0,86660.0
